query,category,video,start,end
group warming up or stretching,general,,,
athlete talks to the camera,general,,,
crowd reacts to a trick,general,,,
funny moment,general,,,

kong vault over an obstacle,PK,,,
dash vault over an obstacle,PK,,,
precision/stick,PK,,,
kong precision,PK,,,
dash precision,PK,,,
long jump across a gap,PK,,,
wall run up a high wall,PK,,,
rooftop line,PK,,,
roll after a drop,PK,,,
lazy vault,PK,,,
jump filmed from below,PK,,,
descent line,PK,,,
accent line,PK,,,
flowy line on rails,PK,,,
strides on ledges,PK,,,
athlete stumbles,PK,,,
athlete fails or bails a trick,PK,,,
pull-ups,PK,,,
muscle-up,PK,,,
hanging and swinging,PK,,,
laché — swing and release,PK,,,
underbar,PK,,,
hand traverse,PK,,,
top-out onto a ledge or bar,PK,,,
drop from a hang,PK,,,

backflip,flips,,,
frontflip,flips,,,
sideflip,flips,,,
webster,flips,,,
b-kick,flips,,,
arial,flips,,,
cork,flips,,,
15 swing corks in a row,flips,,,
weird flip,flips,,,
flick-flag,flips,,,
front handspring,flips,,,
layout/angel flip off a wall,flips,,,

cliff jump into water,cliff jumping,,,
gainer into water,cliff jumping,,,
backflip into water,cliff jumping,,,
frontflip into water,cliff jumping,,,
water challenge,cliff jumping,,,
